protect_pct,n_protect,seqlen,dist,seed,L1_recon_max_abs,L1_recon_rmse,L1_recon_cosine,L1_recon_p999,L1_nan_inf,L2_K_rel_l2,L2_K_cosine,L3_logit_max_abs,L3_logit_rel_l2,L3_top1_agree,L3_top5_overlap,L4_kl,L4_jsd,L4_tvd,L5_out_rel_l2,L5_out_cosine
1,1,512,near_zero,1,1.52587890625e-05,7.330689641094068e-06,0.999972939491272,1.52587890625e-05,0,0.0006444085156545043,1.0000057220458984,2.012588083744049e-06,0.0006107318331487477,1.0,1.0,-4.03031705786816e-08,-4.073076986799151e-09,2.2193125914782286e-07,6.662590976702631e-07,1.0
1,1,512,near_zero,2,1.52587890625e-05,8.097859790723305e-06,0.9999667406082153,1.52587890625e-05,0,0.0007134899497032166,1.000009536743164,1.4014076441526413e-06,0.0005670569371432066,1.0,1.0,3.01606206676297e-09,-5.001345115829281e-09,2.2133463062345982e-07,6.11196696809202e-07,0.9999999403953552
1,1,2048,normal,0,0.015625,0.008899909444153309,0.9999609589576721,0.015625,0,0.0007839397294446826,0.9999589323997498,0.0015430450439453125,0.0005760597996413708,1.0,1.0,1.4729249642186915e-07,2.658474329564342e-08,0.00022313985391519964,0.0005969892372377217,0.9999998211860657
1,1,2048,normal,1,0.015625,0.008191673085093498,0.9999670386314392,0.015625,0,0.0007210319163277745,0.9999628067016602,0.0014674663543701172,0.0006279229419305921,1.0,1.0,2.559090717113577e-07,5.5103583918025834e-08,0.0002568045165389776,0.0006241548690013587,0.9999998211860657
1,1,2048,normal,2,0.015869140625,0.008808177895843983,0.9999623894691467,0.015625,0,0.000776506494730711,0.999964714050293,0.0024328231811523438,0.0008827120182104409,1.0,1.0,4.2199241079288186e-07,1.1096642538177548e-07,0.00027722158120013773,0.0010059253545477986,0.9999995827674866
1,1,2048,heavy_tailed,0,0.0390625,0.020102914422750473,0.9998995661735535,0.0390625,0,0.0012405733577907085,0.9999737739562988,0.0038573741912841797,0.0009078116854652762,1.0,1.0,8.794603445494431e-07,2.219383929968899e-07,0.000500401365570724,0.0012246612459421158,0.9999991655349731
1,1,2048,heavy_tailed,1,0.0625,0.019415833055973053,0.9999062418937683,0.03515625,0,0.0011988686164841056,0.9999740123748779,0.005373239517211914,0.0010491212597116828,1.0,1.0,1.2662575272770482e-06,2.929955371655524e-07,0.0006454798858612776,0.0014828438870608807,0.9999990463256836
1,1,2048,heavy_tailed,2,0.03515625,0.019162654876708984,0.9999116063117981,0.03515625,0,0.001184795517474413,0.9999716281890869,0.00538945198059082,0.0013031159760430455,1.0,1.0,1.704918417999579e-06,4.269371061127458e-07,0.0005964719457551837,0.0015543295303359628,0.9999998807907104
1,1,2048,outliers,0,0.015625,0.008899909444153309,0.9999609589576721,0.015625,0,0.00012365455040708184,1.000146746635437,0.0015430450439453125,9.979600872611627e-05,1.0,1.0,5.864034591240852e-08,1.6758063381416832e-08,0.00017962745914701372,0.0003207563131581992,0.9999999403953552
1,1,2048,outliers,1,0.5,0.105817049741745,0.9999668002128601,0.375,0,0.0014709281967952847,1.000135898590088,0.04695701599121094,0.00144247489515692,1.0,1.0,3.5355416912352666e-05,8.824355063552503e-06,0.002124285791069269,0.005663658492267132,0.9999840259552002
