grid,family,family_params,T,beta,delta,sigma_logit,V,seed,cost_order,total_cost,max_accel_norm,gate_activations,per_source_costs,per_pair_costs,truth_label,hit,margin,rank,threshold_pass,alignment_pass,cell_pass,failure_reasons
ablation,linear_drift,"{""drift_rate"": 0.1}",0.1,200.0,0.5,3.0,1024,44,FIRST,0.02970585407783462,0.10000000000000003,6,"[0.01485292703891731, 0.02970585407783462, 0.01485292703891731]","{""1,0"": 0.01485292703891731, ""2,0"": 0.0, ""2,1"": 0.01485292703891731}",,,,,False,,False,lin_drift.total_cost<=1e-10(fp64);lin_drift.max_accel<=1e-10(fp64);lin_drift.per_source<=1e-10(fp64)
ablation,linear_drift,"{""drift_rate"": 0.1}",0.1,200.0,0.5,3.0,1024,42,SECOND,0.0,7.670983892384985e-17,4,"[0.0, 0.0, 0.0]","{""1,0"": 0.0, ""2,0"": 0.0, ""2,1"": 0.0}",,,,,True,,True,
ablation,linear_drift,"{""drift_rate"": 0.1}",0.1,200.0,0.5,3.0,1024,43,SECOND,0.0,8.178773432249468e-17,4,"[0.0, 0.0, 0.0]","{""1,0"": 0.0, ""2,0"": 0.0, ""2,1"": 0.0}",,,,,True,,True,
ablation,linear_drift,"{""drift_rate"": 0.1}",0.1,200.0,0.5,3.0,1024,44,SECOND,0.0,7.74520527184718e-17,4,"[0.0, 0.0, 0.0]","{""1,0"": 0.0, ""2,0"": 0.0, ""2,1"": 0.0}",,,,,True,,True,
ablation,linear_drift,"{""drift_rate"": 0.2}",0.1,200.0,0.5,3.0,1024,42,ZEROTH,0.9032519851736727,0.7999999999999999,8,"[0.45162599258683633, 0.9032519851736727, 0.45162599258683633]","{""1,0"": 0.45162599258683633, ""2,0"": 0.0, ""2,1"": 0.45162599258683633}",,,,,False,,False,lin_drift.total_cost<=1e-10(fp64);lin_drift.max_accel<=1e-10(fp64);lin_drift.per_source<=1e-10(fp64)
ablation,linear_drift,"{""drift_rate"": 0.2}",0.1,200.0,0.5,3.0,1024,43,ZEROTH,0.9032519851736727,0.7999999999999999,8,"[0.45162599258683633, 0.9032519851736727, 0.45162599258683633]","{""1,0"": 0.45162599258683633, ""2,0"": 0.0, ""2,1"": 0.45162599258683633}",,,,,False,,False,lin_drift.total_cost<=1e-10(fp64);lin_drift.max_accel<=1e-10(fp64);lin_drift.per_source<=1e-10(fp64)
ablation,linear_drift,"{""drift_rate"": 0.2}",0.1,200.0,0.5,3.0,1024,44,ZEROTH,0.903251985173673,0.8,8,"[0.4516259925868365, 0.903251985173673, 0.4516259925868365]","{""1,0"": 0.4516259925868365, ""2,0"": 0.0, ""2,1"": 0.4516259925868365}",,,,,False,,False,lin_drift.total_cost<=1e-10(fp64);lin_drift.max_accel<=1e-10(fp64);lin_drift.per_source<=1e-10(fp64)
ablation,linear_drift,"{""drift_rate"": 0.2}",0.1,200.0,0.5,3.0,1024,42,FIRST,0.1348076824970764,0.20000000000000004,6,"[0.0674038412485382, 0.1348076824970764, 0.0674038412485382]","{""1,0"": 0.0674038412485382, ""2,0"": 0.0, ""2,1"": 0.0674038412485382}",,,,,False,,False,lin_drift.total_cost<=1e-10(fp64);lin_drift.max_accel<=1e-10(fp64);lin_drift.per_source<=1e-10(fp64)
ablation,linear_drift,"{""drift_rate"": 0.2}",0.1,200.0,0.5,3.0,1024,43,FIRST,0.1348076824970764,0.20000000000000007,6,"[0.0674038412485382, 0.1348076824970764, 0.0674038412485382]","{""1,0"": 0.0674038412485382, ""2,0"": 0.0, ""2,1"": 0.0674038412485382}",,,,,False,,False,lin_drift.total_cost<=1e-10(fp64);lin_drift.max_accel<=1e-10(fp64);lin_drift.per_source<=1e-10(fp64)
ablation,linear_drift,"{""drift_rate"": 0.2}",0.1,200.0,0.5,3.0,1024,44,FIRST,0.1348076824970766,0.20000000000000007,6,"[0.0674038412485383, 0.1348076824970766, 0.0674038412485383]","{""1,0"": 0.0674038412485383, ""2,0"": 0.0, ""2,1"": 0.0674038412485383}",,,,,False,,False,lin_drift.total_cost<=1e-10(fp64);lin_drift.max_accel<=1e-10(fp64);lin_drift.per_source<=1e-10(fp64)
ablation,linear_drift,"{""drift_rate"": 0.2}",0.1,200.0,0.5,3.0,1024,42,SECOND,0.0,1.4249810607357106e-16,6,"[0.0, 0.0, 0.0]","{""1,0"": 0.0, ""2,0"": 0.0, ""2,1"": 0.0}",,,,,True,,True,
ablation,linear_drift,"{""drift_rate"": 0.2}",0.1,200.0,0.5,3.0,1024,43,SECOND,0.0,1.4442686565833764e-16,6,"[0.0, 0.0, 0.0]","{""1,0"": 0.0, ""2,0"": 0.0, ""2,1"": 0.0}",,,,,True,,True,
ablation,linear_drift,"{""drift_rate"": 0.2}",0.1,200.0,0.5,3.0,1024,44,SECOND,0.0,1.4995852865739058e-16,6,"[0.0, 0.0, 0.0]","{""1,0"": 0.0, ""2,0"": 0.0, ""2,1"": 0.0}",,,,,True,,True,
primary,baseline,{},0.1,200.0,0.5,3.0,1024,42,SECOND,0.0,0.0,0,"[0.0, 0.0, 0.0]","{""1,0"": 0.0, ""2,0"": 0.0, ""2,1"": 0.0}",,,,,True,,True,
primary,baseline,{},0.1,200.0,0.5,3.0,1024,43,SECOND,0.0,0.0,0,"[0.0, 0.0, 0.0]","{""1,0"": 0.0, ""2,0"": 0.0, ""2,1"": 0.0}",,,,,True,,True,
primary,baseline,{},0.1,200.0,0.5,3.0,1024,44,SECOND,0.0,0.0,0,"[0.0, 0.0, 0.0]","{""1,0"": 0.0, ""2,0"": 0.0, ""2,1"": 0.0}",,,,,True,,True,
primary,constant_bias,"{""alpha_mag"": 0.05}",0.1,200.0,0.5,3.0,1024,42,SECOND,0.0,2.5069022375274173e-17,0,"[0.0, 0.0, 0.0]","{""1,0"": 0.0, ""2,0"": 0.0, ""2,1"": 0.0}",,,,,True,,True,
primary,constant_bias,"{""alpha_mag"": 0.05}",0.1,200.0,0.5,3.0,1024,43,SECOND,0.0,3.268074769692252e-17,0,"[0.0, 0.0, 0.0]","{""1,0"": 0.0, ""2,0"": 0.0, ""2,1"": 0.0}",,,,,True,,True,
primary,constant_bias,"{""alpha_mag"": 0.05}",0.1,200.0,0.5,3.0,1024,44,SECOND,0.0,3.76467099586943e-17,0,"[0.0, 0.0, 0.0]","{""1,0"": 0.0, ""2,0"": 0.0, ""2,1"": 0.0}",,,,,True,,True,
primary,constant_bias,"{""alpha_mag"": 0.1}",0.1,200.0,0.5,3.0,1024,42,SECOND,0.0,3.507392853828626e-17,0,"[0.0, 0.0, 0.0]","{""1,0"": 0.0, ""2,0"": 0.0, ""2,1"": 0.0}",,,,,True,,True,
